ID,UCSC_RefGene_Group,UCSC_RefGene_Name
cg06767008,Body;Body,FOXP3;FOXP3
cg06769752,Body;Body,GAB3;GAB3
cg06772067,TSS1500,XIAP
cg06774124,5'UTR;Body;Body,TSC22D3;TSC22D3;TSC22D3
cg06774787,5'UTR;1stExon;1stExon;5'UTR,KLF8;KLF8;KLF8;KLF8
cg06775759,TSS1500,KLHL34
cg06776123,TSS200,ZXDB
cg06776257,5'UTR,DUSP9
cg06776776,TSS200,TAF7L
cg06778013,TSS1500,MAGEB6
cg06778844,5'UTR;5'UTR,PAK3;PAK3
cg06779458,,
cg06779802,1stExon,IRS4
cg06780601,3'UTR,NUDT10
cg06780606,3'UTR;3'UTR,EDA;EDA
cg06782349,,
cg06783548,TSS200;TSS200,SYN1;SYN1
cg06786167,Body;TSS1500;Body,DLG3;DLG3;DLG3
cg06789392,Body;Body;Body,MIR501;CLCN5;CLCN5
cg06791102,1stExon;1stExon,ARHGAP4;ARHGAP4
cg06792724,TSS200,IL1RAPL1
cg06793890,1stExon;5'UTR,ATXN3L;ATXN3L
cg06794323,Body,MAOA
cg06796204,Body;TSS200,NHSL2;RGAG4
cg06803079,Body;TSS200;Body;TSS200,UXT;LOC100133957;UXT;LOC100133957
cg06804788,1stExon;5'UTR,ZNF81;ZNF81
cg06805513,Body,SLC16A2
cg06806679,TSS1500;TSS1500,USP9X;USP9X
cg06807018,Body;Body;Body,LAMP2;LAMP2;LAMP2
cg06809565,1stExon;5'UTR;TSS1500,HCFC1;HCFC1;TMEM187
cg06810133,,
cg06811375,TSS200;TSS1500,NLGN4X;NLGN4X
cg06814121,TSS1500;5'UTR,MID1;MID1
cg06815914,TSS1500;TSS1500,SLC25A14;SLC25A14
cg06816704,1stExon;5'UTR,PNMA3;PNMA3
cg06818142,1stExon;5'UTR;TSS1500,TIMM8A;TIMM8A;TIMM8A
cg06818555,,
cg06822229,TSS1500;TSS1500,ACSL4;ACSL4
cg06828129,TSS1500;Body;TSS1500;TSS1500;TSS1500,NONO;BCYRN1;NONO;NONO;NONO
cg06831164,Body,EFHC2
cg06831832,Body,SPANXN4
cg06833902,TSS200,DUSP21
cg06834235,5'UTR;1stExon;5'UTR;1stExon,FTSJ1;FTSJ1;FTSJ1;FTSJ1
cg06834983,5'UTR,SSX7
cg06839398,5'UTR;5'UTR;5'UTR;5'UTR,BCOR;BCOR;BCOR;BCOR
cg06845960,5'UTR;5'UTR;5'UTR;5'UTR,SLITRK2;SLITRK2;SLITRK2;SLITRK2
cg06848990,5'UTR,AMOT
cg06851753,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,FAM3A;FAM3A;FAM3A;FAM3A;FAM3A
cg06852103,5'UTR;TSS1500;5'UTR,FTSJ1;FTSJ1;FTSJ1
cg06860598,1stExon,FAM48B1
cg06864633,,
cg06868150,Body,RPS4X
cg06870560,,
cg06871279,1stExon;5'UTR,RNF128;RNF128
cg06873315,TSS200;TSS200,FAM9A;FAM9A
cg06875704,TSS1500,MIR510
cg06876079,TSS200,CXorf22
cg06877198,TSS200,KDM6A
cg06878303,1stExon;TSS200;5'UTR;5'UTR;TSS200;1stExon;TSS200,MAGEA12;MAGEA12;MAGEA12;MAGEA12;CSAG1;MAGEA12;CSAG1
cg06879828,TSS200,TMEM35
cg06883934,TSS1500,ARSF
cg06885779,TSS200;Body,H2BFWT;MIR1256
cg06891491,5'UTR,ZNF75D
cg06892157,,
cg06895515,TSS200,UBA1
cg06899582,1stExon;5'UTR,ZNF280C;ZNF280C
cg06900776,TSS200;TSS200;TSS1500,ARMCX3;ARMCX3;ARMCX3
cg06902764,1stExon,SOX3
cg06908232,TSS1500;1stExon;5'UTR,ZDHHC9;ZDHHC9;ZDHHC9
cg06909745,,
cg06913629,TSS1500,INE2
cg06915321,TSS200,ZIC3
cg06915915,,
cg06916310,TSS1500,FGF16
cg06918955,3'UTR;3'UTR,C1GALT1C1;C1GALT1C1
cg06919398,Body,GDI1
cg06919903,,
cg06920429,TSS1500,RAP2C
cg06921456,Body;Body,ARHGAP4;ARHGAP4
cg06921685,1stExon;TSS200;5'UTR,NDUFA1;RNF113A;NDUFA1
cg06922569,TSS200,ARAF
cg06925836,5'UTR;1stExon,WAS;WAS
cg06927864,TSS1500,IL1RAPL1
cg06936709,TSS200,HDX
cg06938654,1stExon;Body,YY2;MBTPS2
cg06939792,,
cg06942445,5'UTR;5'UTR;5'UTR,TRO;TRO;TRO
cg06943437,TSS200,MSN
cg06943593,Body,ARX
cg06944050,1stExon;1stExon,LONRF3;LONRF3
cg06944211,,
cg06944922,TSS200;TSS200,RPGR;RPGR
cg06945800,1stExon;5'UTR,ANKRD58;ANKRD58
cg06948553,TSS1500;TSS1500,BCOR;BCOR
cg06953627,Body;Body,INGX;BCYRN1
cg06957108,TSS200,ZNF185
cg06959635,1stExon;Body,MCF2;MCF2
cg06963219,TSS200,TAF7L
cg06963664,Body,PLXNA3
cg06964654,,
cg06967228,,
cg06968752,,
cg06971254,5'UTR;TSS1500;5'UTR;TSS200;5'UTR;1stExon;TSS1500;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,PQBP1;TIMM17B;PQBP1;PQBP1;PQBP1;PQBP1;TIMM17B;PQBP1;PQBP1;PQBP1;PQBP1;PQBP1
cg06980881,Body,ARMCX4
cg06981242,TSS1500;TSS1500;TSS1500,FGF13;FGF13;FGF13
cg06988760,TSS200;Body,AKAP4;AKAP4
cg07001318,1stExon;1stExon,CXorf36;CXorf36
cg07001612,1stExon,ZXDA
cg07004091,,
cg07004932,TSS200;Body,ITGB1BP2;BCYRN1
cg07005924,,
cg07007780,TSS200,BEND2
cg07010478,5'UTR;5'UTR;Body;5'UTR;5'UTR,NONO;NONO;BCYRN1;NONO;NONO
cg07011790,TSS200;TSS200;5'UTR,TCEAL1;TCEAL1;TCEAL1
cg07012573,1stExon;5'UTR;1stExon;5'UTR,BEX4;BEX4;BEX4;BEX4
cg07026431,,
cg07029395,TSS200;TSS1500,MIR892B;MIR892A
cg07038409,5'UTR;1stExon;1stExon;5'UTR,ELK1;ELK1;ELK1;ELK1
cg07042747,Body;Body;Body,MST4;MST4;MST4
cg07049424,Body;Body;Body;Body,RBMX;RBMX;RBMX;RBMX
cg07051162,TSS200;TSS200;TSS200,GK;GK;GK
cg07051329,TSS200;TSS200;TSS200;TSS1500,CHRDL1;CHRDL1;CHRDL1;CHRDL1
cg07053481,TSS1500,TMEM185A
cg07053880,TSS1500,GABRE
cg07054622,,
cg07055143,TSS1500,MAGEH1
cg07055845,5'UTR;1stExon;5'UTR;5'UTR,MID1;MID1;MID1;MID1
cg07056506,5'UTR;Body;5'UTR;1stExon,MCART6;ZCCHC18;ZCCHC18;ZCCHC18
cg07056550,TSS200;Body,ERCC6L;PIN4
cg07061351,Body;TSS1500,LOC139201;CHIC1
cg07063211,5'UTR;1stExon,SSX9;SSX9
cg07063583,Body,KAL1
cg07066594,Body,ZC4H2
cg07069575,5'UTR;5'UTR,CLCN5;CLCN5
cg07069660,Body;Body,AKAP4;AKAP4
cg07070466,TSS1500,TGIF2LX
cg07070940,Body;Body,HDHD1A;HDHD1A
cg07076318,5'UTR;5'UTR,SYTL5;SYTL5
cg07079445,5'UTR;TSS1500;1stExon;5'UTR,CTPS2;CTPS2;CTPS2;CTPS2
cg07079936,3'UTR;Body,SSX3;SSX3
cg07086565,TSS1500;TSS200,TMEM187;HCFC1
cg07088622,TSS200,ZNF645
cg07089242,TSS200;1stExon;5'UTR,LOC100272228;CXorf40B;CXorf40B
cg07089438,3'UTR;Body,FAM122C;FAM122C
cg07091641,TSS1500,TCEAL5
cg07093674,TSS1500,LOC100132831
cg07094528,,
cg07096038,TSS1500;5'UTR;TSS1500;5'UTR,BCOR;BCOR;BCOR;BCOR
cg07096248,TSS200,RBBP7
cg07098277,Body;Body,RBM41;RBM41
cg07099245,5'UTR;5'UTR;5'UTR;5'UTR,BCOR;BCOR;BCOR;BCOR
cg07103644,TSS200,MAP3K7IP3
cg07108522,Body,NHSL2
cg07109010,5'UTR;1stExon,WDR45;WDR45
cg07112779,TSS200,ERAS
cg07115116,Body;Body,SCARNA9L;EIF1AX
cg07115537,,
cg07136610,TSS200,HUWE1
cg07136872,,
cg07137581,TSS200,FAM123B
cg07143052,1stExon;TSS1500;TSS1500,SMC1A;RIBC1;RIBC1
cg07146718,Body;Body;Body;Body;Body,FGF13;FGF13;FGF13;FGF13;FGF13
cg07147350,Body;Body;Body;TSS1500;Body;Body,ASFMR1;ASFMR1;ASFMR1;FMR1;ASFMR1;ASFMR1
cg07150680,5'UTR,HUWE1
cg07151929,TSS1500,MAP3K7IP3
cg07153944,TSS200,HDAC6
cg07156563,TSS1500;5'UTR;5'UTR;TSS1500,CITED1;CITED1;CITED1;CITED1
cg07157700,TSS1500,PLAC1
cg07158153,5'UTR,BCORL1
cg07160107,5'UTR;1stExon,ARSE;ARSE
cg07161993,5'UTR,WDR45
cg07167981,TSS200,KDM6A
cg07172237,,
cg07172550,TSS200,SASH3
cg07174097,1stExon,TSC22D3
cg07177300,TSS200,FRMPD4
cg07180121,,
cg07180360,5'UTR;TSS1500;5'UTR,ZNF674;LOC401588;ZNF674
cg07181891,1stExon;5'UTR;Body,UPRT;UPRT;UPRT
cg07182248,TSS1500;Body;TSS1500,CXCR3;BCYRN1;CXCR3
cg07186939,1stExon;3'UTR,ATXN3L;ATXN3L
cg07187289,5'UTR;TSS200;1stExon;5'UTR;1stExon,IDH3G;SSR4;IDH3G;IDH3G;IDH3G
cg07187723,3'UTR;3'UTR;3'UTR;3'UTR;3'UTR;3'UTR,PAK3;PAK3;PAK3;PAK3;PAK3;PAK3
cg07191545,,
cg07192043,3'UTR,MTMR1
cg07193309,,
cg07194250,Body;TSS200,MGC16121;MIR503
cg07195469,TSS200;5'UTR;5'UTR;5'UTR,DNASE1L1;DNASE1L1;DNASE1L1;DNASE1L1
cg07195539,,
cg07195705,Body;TSS200,NCRNA00182;MIR421
cg07198345,Body;TSS1500;TSS1500,HEPH;HEPH;HEPH
cg07198771,TSS200;TSS1500,SYTL4;SYTL4
cg07200487,,
cg07201013,Body,MIR1256
cg07204290,5'UTR;5'UTR,RLIM;RLIM
cg07206010,Body,TREX2
cg07207959,1stExon,KIAA1210
cg07208231,TSS1500;TSS1500,ENOX2;ENOX2
cg07210774,TSS1500;TSS1500,C1GALT1C1;C1GALT1C1
cg07210835,Body,PLP2
cg07211220,,
cg07211915,TSS200,MAP3K15
cg07214066,TSS200,ZNF630
cg07215528,5'UTR;TSS1500;TSS1500;Body;TSS200;TSS200,G6PD;G6PD;IKBKG;IKBKG;IKBKG;IKBKG
cg07223177,1stExon,CHST7
cg07240096,TSS200,GPKOW
cg07242375,Body,PRICKLE3
cg07253552,TSS200,MBNL3
cg07256221,TSS200,SLC25A43
cg07256643,TSS1500,DUSP9
cg07258624,TSS200,DCAF8L2
cg07260325,,
cg07260443,,
cg07261646,5'UTR;1stExon;1stExon;5'UTR,FLNA;FLNA;FLNA;FLNA
cg07264097,Body;1stExon;1stExon,BCYRN1;TAF1;TAF1
cg07274490,Body,GPR143
cg07274922,Body,PAGE2B
cg07276379,TSS1500,MXRA5
cg07278328,,
cg07283407,Body,MGC16121
cg07295246,Body,SH3KBP1
cg07297906,5'UTR;5'UTR;1stExon;1stExon;1stExon;1stExon;5'UTR;5'UTR,GPC3;GPC3;GPC3;GPC3;GPC3;GPC3;GPC3;GPC3
cg07309821,TSS200,SPIN4
cg07311845,TSS200,TMLHE
cg07312966,TSS200,GPC4
cg07313078,TSS1500,SHROOM2
cg07314984,TSS1500,PHKA2
cg07318999,Body,ARMCX4
cg07320017,5'UTR,MCF2
cg07324045,1stExon,FAM47B
cg07337720,,
cg07342016,1stExon,RAB33A
cg07343739,Body,SLC9A7
cg07344627,TSS200,DCAF12L1
cg07349006,Body,ARMCX1
cg07352612,Body,PAGE3
cg07354666,TSS200,EBP
cg07356189,5'UTR;TSS1500;TSS1500,TEX28;TKTL1;TKTL1
cg07358738,Body,SLC6A14
cg07363416,TSS200,MAGT1
cg07368951,5'UTR;1stExon,SPIN4;SPIN4
cg07374632,Body,PCSK1N
cg07380282,1stExon;5'UTR,VCX2;VCX2
cg07381502,TSS200,ATP6AP2
cg07382308,,
cg07382899,TSS200,APLN
cg07386410,TSS200,USP51
cg07388156,,
cg07388258,,
cg07390373,TSS1500,MAOB
cg07392722,3'UTR,BEX1
cg07393670,5'UTR;5'UTR;5'UTR;1stExon;1stExon;5'UTR;1stExon;1stExon,AIFM1;AIFM1;AIFM1;AIFM1;AIFM1;AIFM1;AIFM1;AIFM1
cg07395435,5'UTR,MCF2
cg07395724,,
cg07395961,,
cg07398429,1stExon,MAGEB4
cg07405239,,
cg07409400,TSS1500,SLC25A43
cg07413830,TSS200;TSS200;TSS200,GEMIN8;GEMIN8;GEMIN8
cg07413956,TSS200,PAGE2B
cg07416427,Body,WWC3
cg07418809,5'UTR,MAGEB3
cg07419178,5'UTR;1stExon;1stExon;1stExon;5'UTR;5'UTR;1stExon;5'UTR,CCDC120;CCDC120;CCDC120;CCDC120;CCDC120;CCDC120;CCDC120;CCDC120
cg07419680,5'UTR,ZNF75D
cg07419801,5'UTR;TSS200;5'UTR,MST4;MST4;MST4
cg07422795,,
cg07427073,Body;Body,ZNF182;ZNF182
cg07428182,5'UTR,PLXNA3
cg07434817,TSS1500,SH3KBP1
cg07438602,,
cg07439208,,
cg07439872,TSS1500,GPR101
cg07441824,5'UTR,ZCCHC16
cg07442775,5'UTR;Body;TSS1500;Body,KLHL13;KLHL13;KLHL13;KLHL13
cg07445326,TSS1500;TSS1500,PAGE5;PAGE5
cg07446674,1stExon;5'UTR,MAP7D3;MAP7D3
cg07446846,TSS1500;TSS1500,SLC6A8;SLC6A8
cg07447868,Body,NHS
cg07449205,Body;Body;Body;Body,SEPT6;SEPT6;SEPT6;SEPT6
cg07449620,5'UTR;5'UTR;5'UTR;5'UTR;TSS1500,FAM133A;FAM133A;FAM133A;FAM133A;NAP1L3
cg07452499,Body;TSS1500;Body;TSS1500,CLCN5;MIR362;CLCN5;MIR500
cg07452997,1stExon,ANKRD58
cg07457143,3'UTR,RBMX2
cg07458836,TSS200,MED14
cg07459438,Body;Body,WDR45;WDR45
cg07462256,1stExon;5'UTR,FAM155B;FAM155B
cg07463743,,
cg07464229,TSS1500,USP11
cg07464489,Body;Body,RHOXF2;RHOXF2B
cg07464524,Body;1stExon;TSS1500;5'UTR,TSC22D3;TSC22D3;TSC22D3;TSC22D3
cg07464598,TSS200,ARAF
cg07466166,1stExon,TAF9B
cg07468307,5'UTR;Body;Body;Body;Body;1stExon;5'UTR,KLHL13;KLHL13;KLHL13;KLHL13;KLHL13;KLHL13;KLHL13
cg07468552,TSS1500;Body;Body;TSS1500,LOC100133957;UXT;UXT;LOC100133957
cg07469105,TSS1500,TMSB15A
cg07469691,,
cg07470526,3'UTR;3'UTR,RRAGB;RRAGB
cg07471703,5'UTR;5'UTR;5'UTR,ALAS2;ALAS2;ALAS2
cg07473550,TSS200,TSC22D3
cg07474356,TSS1500,PCDH11X
cg07480829,Body;1stExon;5'UTR,CUL4B;CUL4B;CUL4B
cg07481063,Body,EFHC2
cg07483816,Body,BCYRN1
cg07483970,5'UTR,GUCY2F
cg07485959,,
cg07489003,Body,XK
cg07492878,TSS200;TSS200,BEX4;BEX4
cg07494987,Body,TMEM27
cg07495946,,
cg07496966,5'UTR,CA5B
cg07501063,Body,PRKX
cg07507339,1stExon;1stExon;5'UTR;1stExon;5'UTR;Body;5'UTR;5'UTR;1stExon,FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A;FAM3A
cg07507776,1stExon,ZXDB
cg07508090,TSS200,ZC4H2
cg07516457,TSS200;Body;TSS200,TAF1;BCYRN1;TAF1
cg07519908,TSS200,CDKL5
cg07520860,Body,TSIX
cg07520976,Body;Body,GPRASP2;GPRASP2
cg07525100,TSS200,FGD1
cg07526675,TSS1500,PCSK1N
cg07549474,TSS1500,MAGEC2
cg07550694,Body,BCYRN1
cg07553115,1stExon,IRS4
cg07556193,TSS1500;TSS1500;TSS1500;TSS1500,GDPD2;GDPD2;GDPD2;GDPD2
cg07559438,TSS1500;TSS200,PNCK;PNCK
cg07559615,Body;Body,ELK1;ELK1
cg07570652,Body,FLJ30058
cg07573912,TSS200;TSS200,MECP2;MECP2
cg07581973,1stExon,PRDX4
cg07590102,5'UTR;5'UTR,CDKL5;CDKL5
cg07592828,TSS1500;TSS1500;TSS1500,NLGN3;NLGN3;NLGN3
cg07601068,5'UTR;5'UTR;5'UTR;5'UTR,BCOR;BCOR;BCOR;BCOR
cg07605754,5'UTR;5'UTR,CLCN5;CLCN5
cg07608505,TSS200,TCEAL2
cg07621042,1stExon;Body,RBMXL3;LRCH2
cg07629996,Body;Body,NHS;NHS
cg07635888,Body,NAA10
cg07642259,TSS1500,NDP
cg07646007,Body;3'UTR;3'UTR,FAM104B;FAM104B;FAM104B
cg07647518,Body,SH3KBP1
cg07648454,,
cg07649160,TSS200,PRAF2
cg07650623,TSS1500;TSS1500;TSS1500,GLRA2;GLRA2;GLRA2
cg07650640,5'UTR;5'UTR,BCOR;BCOR
cg07652272,TSS200;TSS200,ARSD;ARSD
cg07653550,TSS200,MIR220A
cg07653640,5'UTR;5'UTR;5'UTR;1stExon;5'UTR,CHRDL1;CHRDL1;CHRDL1;CHRDL1;CHRDL1
cg07653699,5'UTR;5'UTR;5'UTR,FGF13;FGF13;FGF13
cg07653728,Body;TSS1500,PNCK;PNCK
cg07654896,1stExon;1stExon;5'UTR;5'UTR,RGN;RGN;RGN;RGN
cg07658428,,
cg07658614,1stExon,FUNDC1
cg07659240,,
cg07660381,5'UTR;1stExon,FAM46D;FAM46D
cg07660411,TSS200;TSS200,CXorf15;CXorf15
cg07662137,Body;Body;5'UTR;1stExon,DIAPH2;DIAPH2;RPA4;RPA4
cg07672452,5'UTR;5'UTR;5'UTR,GEMIN8;GEMIN8;GEMIN8
cg07673466,TSS1500;TSS1500;TSS1500,NLGN3;NLGN3;NLGN3
cg07674075,Body;Body;Body;Body;Body;5'UTR;1stExon;Body;TSS200,FAM104B;FAM104B;FAM104B;FAM104B;FAM104B;FAM104B;FAM104B;FAM104B;FAM104B
cg07674139,TSS200,NRK
cg07674503,TSS200,RAP2C
cg07674520,TSS1500,HDAC6
cg07679432,,
cg07679571,Body;Body;Body,DLG3;DLG3;DLG3
cg07681139,5'UTR;1stExon,IL1RAPL2;IL1RAPL2
cg07681512,TSS200;TSS200;TSS200;TSS200,SEPT6;SEPT6;SEPT6;SEPT6
cg07681653,,
cg07682072,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,PORCN;PORCN;PORCN;PORCN;PORCN
cg07686944,1stExon;1stExon;5'UTR;1stExon;5'UTR;1stExon;5'UTR;5'UTR,SCML1;SCML1;SCML1;SCML1;SCML1;SCML1;SCML1;SCML1
cg07688057,5'UTR;5'UTR;5'UTR;5'UTR,BCOR;BCOR;BCOR;BCOR
cg07688234,5'UTR;TSS1500;1stExon,CFP;CFP;CFP
cg07692215,,
cg07693301,TSS200;TSS200;TSS200,CD99L2;CD99L2;CD99L2
cg07693661,TSS1500,NAP1L2
cg07694085,TSS1500,MAP7D3
cg07695603,,
cg07713026,5'UTR;5'UTR;Body;5'UTR;5'UTR,NONO;NONO;BCYRN1;NONO;NONO
cg07734869,Body;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;Body;TSS1500;TSS1500,TIMM17B;PQBP1;PQBP1;PQBP1;PQBP1;PQBP1;PQBP1;TIMM17B;PQBP1;PQBP1
cg07745899,5'UTR;5'UTR;5'UTR;5'UTR,TRMT2B;TRMT2B;TRMT2B;TRMT2B
cg07746818,TSS1500;TSS1500,BEX4;BEX4
cg07748875,1stExon;TSS200;TSS200;5'UTR;TSS200,BEX2;BEX2;BEX2;BEX2;BEX2
cg07749147,TSS1500;TSS1500,RPL10;RPL10
cg07749485,,
cg07750402,5'UTR;TSS200;TSS200;TSS200,OTUD5;OTUD5;OTUD5;OTUD5
cg07750953,,
cg07752550,5'UTR;1stExon,MAGEB16;MAGEB16
cg07755264,,
cg07756708,,
cg07758529,5'UTR,IL1RAPL2
cg07759587,5'UTR;1stExon;Body,TLR8;TLR8;LOC349408
cg07761273,Body;Body,EGFL6;EGFL6
cg07761358,TSS1500;Body,BCAP31;ABCD1
cg07764473,TSS1500;TSS1500,BCOR;BCOR
cg07764932,5'UTR;Body;Body,ARHGAP6;ARHGAP6;ARHGAP6
cg07767690,TSS1500;5'UTR;TSS1500,MAGED2;MAGED2;MAGED2
cg07768177,5'UTR;5'UTR;5'UTR,FGF13;FGF13;FGF13
cg07768843,Body,GPM6B
cg07769622,TSS200,SMEK3P
cg07770093,,
cg07771637,5'UTR;1stExon;1stExon;5'UTR,FAM127B;FAM127B;FAM127B;FAM127B
cg07772467,1stExon;5'UTR;5'UTR;5'UTR;1stExon;1stExon,GK;GK;GK;GK;GK;GK
cg07774424,,
cg07776419,Body;TSS200,MGC16121;MIR503
cg07779434,TSS1500;TSS200;TSS200,MOSPD2;FANCB;FANCB
cg07779826,TSS1500;Body,H2BFWT;MIR1256
cg07780118,1stExon,AR
cg07780544,5'UTR;TSS200,AMMECR1;RGAG1
cg07780887,Body,NCRNA00182
cg07781082,TSS200,PGK1
cg07792041,Body,HAUS7
cg07792400,5'UTR;TSS1500;5'UTR,CXorf41;NUP62CL;CXorf41
cg07796014,TSS200;TSS200,HCCS;HCCS
cg07799491,TSS1500,MTMR1
cg07801607,TSS1500;Body,ZMAT1;ZMAT1
cg07804196,5'UTR;Body;1stExon,DMD;DMD;DMD
cg07806343,,
cg07806797,Body,ZNF185
cg07809144,TSS1500;Body,MIR98;HUWE1
cg07809462,TSS200,ZCCHC12
cg07810091,,
cg07810164,Body;Body,EGFL6;EGFL6
cg07811386,Body,CA5B
cg07812390,3'UTR,EFNB1
cg07816287,TSS200;TSS200;TSS200;TSS200,GPC3;GPC3;GPC3;GPC3
cg07818713,TSS1500;TSS1500;TSS200;TSS1500,MIR450A1;MIR450B;MIR542;MIR450A2
cg07820420,TSS200,NR0B1
cg07822777,TSS200,ESX1
cg07823797,TSS200,NCRNA00182
cg07824128,,
cg07824272,TSS1500,ASB11
cg07824317,TSS1500;TSS1500,RPGR;RPGR
cg07824412,TSS1500,MAGEB4
cg07825508,TSS200,RPL36A
cg07826058,TSS200,MBTPS2
cg07828380,TSS200;TSS200,ARHGAP6;ARHGAP6
cg07830469,TSS200;TSS200;TSS200,PJA1;PJA1;PJA1
cg07834773,TSS1500,DGKK
cg07837161,TSS200;TSS200;TSS200;TSS200;TSS200,FAM3A;FAM3A;FAM3A;FAM3A;FAM3A
cg07839376,,
cg07842130,Body,MXRA5
cg07845764,TSS200,OTUD6A
cg07847989,Body,HTR2C
cg07858069,TSS200,SMS
cg07859138,3'UTR;3'UTR;Body;3'UTR,SEPT6;SEPT6;SEPT6;SEPT6
cg07861014,Body;Body,UXT;UXT
cg07861180,,
cg07862274,1stExon;5'UTR;5'UTR,UBA1;UBA1;UBA1
cg07863318,TSS200;Body,RNF113A;NDUFA1
cg07864948,5'UTR;1stExon,RS1;RS1
cg07865294,1stExon;5'UTR,MAGEB3;MAGEB3
cg07865580,Body;TSS200;Body;1stExon,LOC100133957;LOC100133957;UXT;UXT
cg07867687,TSS200;TSS200,FTSJ1;FTSJ1
cg07868857,,
cg07869461,Body;TSS200;Body;Body,MSL3;MSL3;MSL3;MSL3
cg07870985,1stExon;5'UTR;1stExon;5'UTR,TCEAL8;TCEAL8;TCEAL8;TCEAL8
cg07874284,TSS1500;TSS1500,PRPS2;PRPS2
cg07874334,TSS200,XIAP
cg07874445,TSS1500,AVPR2
cg07876586,1stExon,PGRMC1
cg07880562,Body,NYX
cg07881342,,
cg07882687,TSS200,PAGE1
cg07885785,5'UTR,CXorf21
cg07887243,1stExon,MAOB
cg07890967,,
cg07892139,,
cg07892321,,
cg07896193,5'UTR;TSS1500;TSS1500,NUP62CL;CXorf41;CXorf41
cg07897414,1stExon;1stExon;5'UTR;5'UTR,KLHL4;KLHL4;KLHL4;KLHL4
cg07898500,1stExon;5'UTR,VCX3B;VCX3B
cg07902213,TSS200,THOC2
cg07903246,,
cg07903515,Body;Body,ZDHHC9;ZDHHC9
cg07906564,TSS200;TSS200,GRIPAP1;GRIPAP1
cg07907859,TSS1500;TSS1500;TSS1500;1stExon;TSS1500,FAM133A;FAM133A;FAM133A;NAP1L3;FAM133A
cg07908142,TSS1500,RPL39
cg07910525,5'UTR,NUDT10
cg07910919,TSS200,ZNF185
cg07911140,Body;TSS1500,VGLL1;MIR934
cg07911663,TSS1500;TSS1500,TMEM164;TMEM164
cg07912337,TSS200;TSS200;TSS200;TSS200;TSS200,FAM3A;FAM3A;FAM3A;FAM3A;FAM3A
cg07912810,Body;Body,TEX11;TEX11
cg07917796,5'UTR;1stExon;5'UTR;1stExon,DIAPH2;DIAPH2;DIAPH2;DIAPH2
cg07919695,TSS1500,CD40LG
cg07924363,TSS200;TSS200;TSS1500,MGC16121;MIR424;MIR503
cg07928156,TSS200;TSS200,TCEAL3;TCEAL3
cg07929406,TSS200,SOX3
cg07929447,TSS200;TSS200,HS6ST2;HS6ST2
cg07930217,1stExon;5'UTR,PRPS1;PRPS1
cg07933757,Body;Body;Body,CD99L2;CD99L2;CD99L2
cg07933790,Body,NYX
cg07934503,,
cg07940380,1stExon;5'UTR,OPHN1;OPHN1
cg07940804,1stExon,ACTRT1
cg07946392,1stExon,CT47B1
cg07946630,TSS200,GNL3L
cg07951153,TSS200,CXorf39
cg07951921,Body,BEND2
cg07952579,TSS200,CPXCR1
cg07954607,TSS200,TCEAL2
cg07971493,1stExon,MAP3K15
cg07973464,TSS200,NHS
cg07975691,TSS1500,XAGE5
cg07979856,TSS1500,PRICKLE3
cg07980716,Body;Body;Body;TSS200;Body,AIFM1;AIFM1;AIFM1;AIFM1;AIFM1
cg07980988,TSS200;TSS200,SH2D1A;SH2D1A
cg07981033,,
cg07983304,Body,SLITRK4
cg07983986,,
cg07984302,,
cg07987169,Body;Body,TLR8;LOC349408
cg07989638,,
cg07989867,TSS200,MAGEE1
cg07990395,5'UTR;1stExon;1stExon;1stExon;5'UTR;5'UTR,FGF13;FGF13;FGF13;FGF13;FGF13;FGF13
cg07994386,TSS1500,FRMPD4
cg07997942,TSS200,SSX9
cg07998499,TSS200,CT45A1
cg08021299,Body;TSS1500;TSS1500,HEPH;HEPH;HEPH
cg08023692,1stExon,TFDP3
cg08037664,Body;TSS1500;TSS1500;Body;TSS1500,F8;F8A3;F8A1;F8;F8A2
cg08046324,5'UTR,FLJ30058
cg08057040,3'UTR,MAGT1
cg08059058,Body,KAL1
cg08059778,TSS200,BCORL1
cg08060890,1stExon,RHOXF1
cg08061308,,
cg08062822,5'UTR;TSS1500;TSS1500,MCART6;ZCCHC18;ZCCHC18
cg08063601,1stExon;5'UTR,AR;AR
cg08063757,,
cg08065271,Body,PDZD4
cg08065501,5'UTR;TSS1500;5'UTR;TSS200;5'UTR;1stExon;TSS1500;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,PQBP1;TIMM17B;PQBP1;PQBP1;PQBP1;PQBP1;TIMM17B;PQBP1;PQBP1;PQBP1;PQBP1;PQBP1
cg08070147,5'UTR;5'UTR;5'UTR;5'UTR,SCML1;SCML1;SCML1;SCML1
cg08071770,1stExon,GPR119
cg08073365,3'UTR,VGLL1
cg08076508,5'UTR,PHF8
cg08076861,TSS1500,ZNF275
cg08076987,,
cg08081144,1stExon;5'UTR,NHS;NHS
cg08085487,TSS1500,MIR891A
